index,m0,A,int,SN,mult
67,7218.39346960009,73.0786660396455,554.439847578803,27.3406524679586,4
89,7228.42288889148,73.9099425014454,561.211163998328,17.4180130031955,4
36,7254.28967895191,130.66246014834,994.260924038684,35.9198527410927,1
73,7271.18880686336,275.624270360078,2100.24987972921,34.6504161148684,2
98,7282.12378530836,306.806621400845,2339.9609298326,35.8231869109747,2
130,7296.51040845876,183.084333576128,1398.00303402829,32.6472964025605,2
156,7308.25073202837,203.65550529633,1556.57953780426,30.7237588325078,2
204,7329.99500431853,132.948276778945,1017.96165987651,20.8258265222931,7
233,7343.24471690099,175.747871274928,1347.12985804406,18.8964860724616,7
259,7354.77790092967,117.477138374001,901.326282485746,16.5433661177493,7
281,7364.94071056898,143.077119605213,1098.64959806469,20.1151260062533,7
300,7373.21354590379,61.3956756442781,471.758680465608,11.0542520028022,7
331,7387.31047009059,73.3133981567942,563.980985216088,13.8550228822975,7
358,7399.6811356188,284.281520322207,2189.10785416129,30.2668924665791,7
410,7423.23540794148,155.09454030106,1196.5936281744,33.4371236910957,2
431,7432.66323562026,150.825103606484,1164.54489819839,37.4178234282551,2
472,7451.32372801057,131.20126541208,1014.56027890504,35.6329541097044,1
498,7463.12323513254,90.7495552625468,702.424102766842,23.5367642988916,1
537,7480.80133293716,152.771032901579,1184.17811883146,25.8534627461639,1
563,7492.73262769492,66.2499498884179,514.020303372224,11.2161320839285,2
578,7499.55315453926,39.5358738160387,306.920029726534,10.8854683821895,2
17,7515.73361838047,79.2503326619943,616.029975444487,19.0145522695401,1
29,7547.89914697724,66.3956708218312,517.446196589218,18.6140650958934,6
64,7563.5551109138,109.774365366569,856.589483249152,12.2060667033272,6
87,7574.31940435131,883.303044557795,6898.53366413924,26.690363249636,6
109,7584.59492722935,160.399873724538,1253.74437848381,19.0921325984569,6
132,7594.99927093661,75.4165685810151,589.975324648217,13.370552845519,6
158,7606.99465342349,80.9194299741189,633.631845122597,14.3930351423413,6
201,7626.49186527361,568.479608372468,4458.37066541104,27.7311317631343,1
255,7651.64946674695,120.536906592542,947.225631083375,32.252560082359,1
283,7664.3638706254,245.652326330085,1932.38819249776,24.4772733634534,3
311,7677.39595995478,222.502379659896,1752.09956748329,22.3164142194842,3
333,7687.69220978763,166.251665704058,1310.22482788462,30.3233721592669,3
360,7700.04853657974,44.1703573609272,348.44738804846,5.83212499146646,1
17,7719.89478070142,78.6564895970508,621.476887714045,15.8053702079744,1
50,7735.13628955346,104.520917579084,826.8339421541,27.9564517633907,2
79,7748.7415939397,109.302429928467,865.590940354895,21.6361891650021,2
175,7793.14874194723,183.655417352585,1459.51989694117,26.4674635612118,2
199,7804.29492381135,61.3309038836435,487.82850662232,17.0706488285753,2
260,7833.08461272893,148.38680268412,1182.9516882285,17.6866578321645,2
286,7845.14801463288,62.4284016035139,498.156229960746,12.199607742395,2
35,7876.40364337286,65.837993248516,526.653054563301,14.7454521501996,2
64,7889.78411018703,66.5878684219656,533.209799186305,19.2766917597924,2
24,7908.31239820911,27.2939743133605,218.876449252178,8.7863051486914,2
54,7922.41720671047,241.128888049775,1935.79742729277,21.6554999765843,2
102,7944.92580414595,1128.82892676751,9078.2294330379,26.7869880272851,4
125,7955.73393917917,333.222963537539,2682.09119472564,30.8967238220167,4
146,7965.53656646398,169.378810683826,1364.3601066177,29.5628416731829,4
169,7976.05063079948,199.12173159274,1605.25367842004,28.1047333698712,4
227,8003.45505322231,84.8237361531829,685.27762043776,16.1097893354346,1
269,8023.50131062414,205.27061514256,1660.92757904483,32.153295665506,5
295,8035.72455706888,170.788551956565,1383.22742836613,25.8372187172444,5
320,8047.61708198094,248.552286445861,2014.89319605177,25.5225280326586,5
343,8058.29832622504,197.827876545201,1605.01905647644,20.7591372560451,5
364,8068.5488042509,172.419156492851,1399.98029386014,25.9130177042283,5
409,8089.65933190684,46.3550213841418,376.998985015763,21.0031455753145,3
432,8100.52248159284,39.9026832049649,324.79463947161,16.1745634456626,3
461,8114.31875394276,46.2003292902961,376.454811409143,11.667722538319,3
496,8130.7824986653,33.1352206666419,270.338049368266,8.81763448623708,4
518,8141.41625313472,71.2062702566873,581.420193770562,17.7843291672661,4
536,8149.99268445119,145.278285556685,1187.02081669694,39.8468063130645,4
554,8158.56808531482,77.780533317361,635.936979099423,20.1788838348143,4
596,8178.63410093748,68.7104720116402,562.6437474041,15.7868239782184,1
674,8215.5313256265,616.749398504458,5064.5847471557,28.6705754507665,1
706,8231.2288389381,89.6577493236143,737.127924439145,16.8354588048523,6
734,8244.40116961916,92.8307943044076,763.981607951973,23.7224433379324,6
756,8255.10693006811,162.847061508626,1341.29603565535,25.9834840841691,6
784,8268.30981897219,92.1950482282599,760.130806015429,18.1889524511551,6
807,8279.23466544939,67.6021249739738,557.829587784922,28.7223432129282,6
823,8287.33378679175,39.7273345321694,328.017987533434,12.5732056008005,6
53,8323.91839003919,58.2588013705053,482.362966054883,13.825434739726,3
83,8338.7197431531,63.6845107944593,527.876668647823,21.9589007830069,3
111,8351.9038187778,78.4450255343238,650.873680524271,20.9574262111963,3
151,8371.51940912977,185.770583246249,1543.65825159737,28.6012524185505,3
174,8382.57116407533,70.5724591891185,586.909682754796,17.3503008887523,3
204,8396.70977873194,119.306791394992,993.261532115991,42.9238346925264,3
252,8420.23734119549,134.646972954802,1122.95786811462,24.6610734286429,1
286,8436.593407823,85.5882714398863,714.684754723785,19.6397849314183,2
308,8447.07869379154,55.9827408301953,467.838561502209,12.0542025616259,2
387,8485.77872499302,139.715194548711,1170.96515022537,28.0581888648704,2
412,8497.46973880283,37.8714448677944,317.681309514856,11.0822404203833,2
448,8515.21434350739,70.5568268243127,592.644339823559,17.410620648812,1
27,8538.74642563977,136.98242849558,1152.60828782135,16.8570049651084,1
101,8574.50873028003,500.66810623549,4223.98086818631,27.7227388259619,1
136,8591.87294053831,241.486182085187,2039.97134507815,38.743015285255,3
154,8600.57461634196,141.293653848178,1194.35843363525,39.4695746893434,3
192,8619.08083911569,57.8826427645001,489.95453241573,11.795516170391,3
230,8637.89698143387,339.239580449977,2875.53384900343,26.0068687928882,2
250,8647.65659737875,58.963040938538,500.15552812145,15.6284161871115,2
27,8667.83098934359,197.251732532693,1675.68662853936,27.6776458422689,1
80,8693.64102876294,1203.97191685673,10247.4164431875,21.2170733386327,2
98,8702.68910629388,1341.06617357354,11421.8762245661,40.069180865856,2
119,8712.78711627702,338.942051295692,2888.91816762176,30.3451594895978,3
166,8735.82829842917,197.920892294655,1689.8046475732,25.5353629968486,3
195,8750.30036862404,177.04683563712,1513.192186965,21.2206366446937,3
249,8777.00653389052,651.71369543032,5581.00368637531,29.743386415974,1
