m0,mult
13804.2371999511,2
13852.9165572022,1
13893.8705865833,1
13907.8098123619,4
13921.4760110659,4
13933.6322190492,4
13950.8830934316,4
13981.6152933474,2
13996.1249599369,2
14038.7040015959,1
14053.9591381565,1
14069.6201484716,1
14100.8436752838,5
14117.9209582453,5
14137.431085172,5
14146.6947123183,5
14159.3202999425,5
14177.4387012826,2
14206.8594029968,2
14246.1909216517,5
14256.7020218274,5
14267.5477595512,5
14275.9161656688,5
14281.9573887659,5
14303.8375935556,3
14323.0218671016,3
14343.2361343741,3
14368.2606711156,2
14383.231863977,2
14433.0070217798,8
14447.1923625908,8
14460.4174456566,8
14481.8720246473,8
14497.3276376639,8
14512.6184728041,8
14532.4947376135,8
14541.3722117942,8
14558.3352575262,1
14580.5399761598,4
14591.8894707024,4
14598.8435710512,4
14605.9291323787,4
14654.1387956916,1
14679.9962705288,1
14698.118760995,3
14708.3526579055,3
14738.7479371768,3
14773.0919926102,7
14792.5552850482,7
14810.5760257463,7
14826.4330906686,7
14833.4301499889,7
14853.8286237164,7
14864.8261651001,7
14879.7026310581,2
14891.8020318424,2
14939.138641959,2
14953.0213814988,2
14978.6998650939,1
15080.5707132955,2
15095.206766821,2
15140.3824475984,4
15158.4054284984,4
15167.2989408276,4
15180.8198374921,4
15239.0238377433,1
15304.5772384683,6
15323.894820802,6
15345.9176358216,6
15363.2165072936,6
15375.6740666169,6
15391.6720726694,6
15446.5118230833,2
15468.581986267,2
15521.5256094842,1
15551.4070394824,4
15572.0851994805,4
15591.6972686496,4
15611.8303522399,4
15649.9057249396,1
15730.7347842464,4
15747.2693180719,4
15764.4704288327,4
15778.3790766562,4
15866.9020212395,1
15881.6786654564,4
15901.5779766832,4
15919.8439268646,4
15938.7056791642,4
16001.3018102628,1
16043.8922156094,5
16063.2899352957,5
16087.2779022284,5
16106.4750838847,5
16128.637085891,5
16221.333335184,1
16252.2488153547,6
16268.4399083671,6
16290.7895108949,6
16311.7384757805,6
16332.0097786862,6
16354.5501050486,6
16401.0176439059,1
16462.2087889665,1
16500.5137553751,3
16515.2759479395,3
16530.8569535461,3
16585.8146218332,1
16598.4424207725,8
16642.9808833636,8
16670.8189683095,8
16685.4805078927,8
16702.0721770692,8
16729.4617550775,8
16745.0529256656,8
16758.8749091517,8
16774.1954647048,1
16827.4202180925,1
16865.6015966895,3
16895.1948645723,3
16918.3894130178,3
16941.7647029369,2
16953.6267638666,2
16985.6071629277,3
16995.2798683847,3
17005.3815882756,3
17038.2185282512,1
17086.1098080202,1
17138.9606613624,2
17165.4453469807,2
17267.1015651032,1
17289.1164906303,2
17346.7716402746,2
17396.0131037473,4
17419.4993477382,4
17473.1287460867,4
17492.8014740274,4
17557.5398035277,1
17602.7674295869,3
17623.7174924867,3
17650.6441045318,3
17777.4719481217,1
17809.8262985996,2
17826.0063782984,2
17881.3520451887,1
18030.3979364165,2
